"","county","agegp","edugp","ideal","intend","npop"
"17047",511525,"15-24","primary and below",2.01523291935432,1.97221720716093,17574.7579769196
"17048",511525,"15-24","secondary",1.9055303651972,1.74741642066994,6574.50175590199
"17049",511525,"15-24","hs and above",1.86666239909229,1.57884080669104,2007.74026717845
"17050",511525,"25-34","primary and below",2.11889789739068,2.11863823693817,13454.6977286315
"17051",511525,"25-34","secondary",2.00181485324075,1.93702576284634,5033.23766723773
"17052",511525,"25-34","hs and above",1.94146958462374,1.76197190151106,1537.06460413077
"17053",511525,"35-49","primary and below",2.12636809301413,1.99365075219563,35621.8581512537
"17054",511525,"35-49","secondary",2.04522845376071,1.78545256967974,13325.7009440171
"17055",511525,"35-49","hs and above",1.99233450590156,1.55665785999126,4069.44090472913
"17056",511526,"15-24","primary and below",2.0959416728569,2.13477932411583,16043.6426287353
"17057",511526,"15-24","secondary",2.00005325761351,1.96450394699057,8019.75782335429
"17058",511526,"15-24","hs and above",1.93802331551635,1.70861016657503,2670.59954791046
"17059",511526,"25-34","primary and below",2.23308912497044,2.30787403622964,11486.9216561914
"17060",511526,"25-34","secondary",2.08835549933183,2.06116016134609,5741.98341051935
"17061",511526,"25-34","hs and above",2.02375707390802,1.86005929035103,1912.09493328923
"17062",511526,"35-49","primary and below",2.2570422773861,2.10070230847733,29928.6489690153
"17063",511526,"35-49","secondary",2.15349848549137,1.91589621997309,14960.4751405888
"17064",511526,"35-49","hs and above",2.05735033236943,1.73136446313945,4981.87589039585
"17065",511527,"15-24","primary and below",2.22391416662755,2.42929948364091,16190.6272331292
"17066",511527,"15-24","secondary",2.11484992069614,2.22963169517733,5622.78917997601
"17067",511527,"15-24","hs and above",2.06920664334386,2.06007640834771,1617.58358689477
